ax,ay,az,gx,gy,gz
10560,-15860,3160,-46,-960,527
10460,-16224,3108,-61,-978,553
10496,-15772,3128,-65,-972,550
10404,-15544,3212,-56,-1010,509
10532,-15748,3132,-70,-966,568
10444,-15756,3216,-72,-947,557
10480,-15756,3112,-55,-953,547
10472,-16156,3008,-62,-996,532
10560,-15988,3104,-56,-997,539
10504,-16172,3036,-41,-968,536
10488,-16056,3168,-66,-996,552
10572,-15904,3144,-42,-977,561
10584,-16224,3064,-94,-834,530
10484,-16068,3152,-71,-915,560
10692,-15548,3144,-35,-887,554
10404,-15872,3084,-38,-1016,549
10524,-15824,3228,-47,-964,534
10492,-15620,3292,-34,-970,571
10536,-15716,3312,-50,-977,544
10400,-16136,3232,-63,-983,545
10408,-15948,3108,-58,-995,550
10424,-16080,2972,-24,-1002,503
10448,-16024,3108,-36,-978,568
10512,-15864,3044,-53,-963,550
10452,-16128,3268,-68,-987,536
10440,-15800,3204,-55,-992,538
10512,-16184,3172,-50,-990,537
10524,-16076,3100,-66,-978,565
10480,-15864,3196,-63,-989,549
10484,-15808,3124,-36,-960,531
10512,-15588,3256,-37,-984,538
10428,-15788,3240,-66,-977,517
10496,-15892,3224,-51,-987,538
10424,-15856,3160,-22,-963,528
10476,-15812,3092,-73,-977,533
10384,-15748,3144,-66,-972,521
10416,-15860,3100,-51,-993,524
10544,-15736,3168,-39,-983,547
10488,-15928,3120,-40,-971,543
10444,-15548,3324,-46,-952,526
10472,-15508,3252,-42,-974,562
10540,-15784,3144,-68,-964,546
10464,-15984,3104,-56,-978,533
10392,-15920,3112,-43,-982,546
10448,-15964,3160,-58,-971,551
10460,-15980,3108,-65,-981,578
10392,-16000,3080,-47,-988,547
10512,-15724,3160,-37,-942,546
10444,-15640,3212,-54,-983,545
10428,-15760,3204,-60,-953,585
10452,-15816,3216,-56,-982,560
10452,-15908,3084,-54,-975,528
10480,-15828,3136,-64,-1010,562
10492,-15924,3080,-53,-962,569
10576,-15796,3132,-62,-976,523
10516,-15900,3200,-53,-995,536
10564,-15844,3124,-67,-964,546
10508,-15940,3212,-22,-996,519
10568,-15808,3048,-52,-974,558
10588,-15864,3124,-56,-957,532
10436,-16036,3052,-62,-980,549
10460,-15788,3172,-45,-970,550
10472,-15668,3140,-69,-1010,496
10560,-15972,3160,-56,-977,573
10388,-16096,3120,-54,-980,546
10548,-16004,3152,-50,-942,532
10420,-15820,3088,-44,-906,536
10440,-15772,3348,-56,-1002,516
10508,-15932,3152,-51,-944,536
10476,-15636,3284,-72,-968,539
10480,-16052,3076,-50,-957,543
10480,-15924,3136,-72,-927,575
10408,-16228,3032,-64,-920,562
10452,-15828,3208,-58,-926,545
10460,-15808,3176,-54,-1069,565
10492,-15832,3228,-62,-963,556
10496,-15864,3064,-16,-1094,540
10352,-16100,3152,-54,-1036,540
10512,-15748,3068,-131,-792,553
10424,-15992,3100,-79,-1011,559
10460,-15912,3168,-45,-1003,565
10464,-16160,3112,-46,-1114,577
10488,-15536,3100,-6,-887,533
10528,-15916,3160,21,-971,538
10528,-15932,3120,-69,-1084,550
10392,-15716,3116,-59,-1048,541
10372,-15952,3024,-63,-897,512
10384,-15948,3144,-37,-1051,557
10792,-15804,3076,-95,-946,568
10412,-15848,2968,-30,-933,528
10404,-16228,3152,-118,-783,546
10452,-15728,3204,-51,-913,548
10480,-15644,3136,-60,-1004,554
10568,-15312,3156,98,-1396,550
10300,-15924,3132,-21,-1014,556
10600,-16012,3144,-72,-812,537
10292,-16152,3088,-3,-877,524
10396,-15876,3044,1,-1036,554
10644,-16244,3148,-44,-931,550
10588,-16220,3048,-117,-911,540
10344,-15764,3120,-41,-994,546
10492,-16136,3008,-13,-976,539
10396,-15724,3264,-118,-1018,546
10552,-15888,3200,-49,-1020,567
10460,-15912,3200,-80,-1007,563
10564,-15784,3136,-43,-1088,557
10608,-15940,3096,-55,-971,550
10428,-15660,3212,-20,-1122,546
10424,-16316,3060,-45,-1042,559
10432,-15584,3128,-77,-1059,561
10420,-15864,3124,-43,-1012,538
10416,-15740,3084,-40,-876,570
10496,-15844,3024,-13,-1064,575
10588,-15916,3208,-25,-1043,557
10480,-15988,3060,-39,-1012,543
10396,-15852,3144,-64,-990,515
10508,-15980,3088,-69,-973,537
10484,-15804,3180,-54,-952,548
10452,-15884,3196,-62,-963,545
10436,-16168,3100,-55,-921,559
10496,-16148,3124,-44,-975,556
10504,-16152,3144,-55,-973,556
10468,-16172,3060,-66,-978,544
10392,-15916,3076,-33,-958,558
10432,-15856,3180,-53,-1008,558
10436,-15596,3312,-38,-976,556
10480,-15908,3120,-35,-973,562
10520,-15776,3208,-39,-987,533
10524,-16024,3084,-52,-961,556
10448,-16016,3124,-76,-987,584
10564,-15796,3096,-45,-1005,527
10548,-15916,3044,-79,-963,541
10544,-16216,3084,-57,-965,559
10580,-15492,3360,-46,-1004,555
10420,-15912,3160,-54,-993,534
10492,-16272,3052,-26,-961,537
10492,-15940,3052,-51,-942,517
10520,-15716,3196,-34,-932,526
10520,-16272,2956,-60,-984,522
10372,-15960,3140,-49,-941,551
10056,-15484,3284,-233,-834,593
10620,-15680,3160,-60,-1039,573
10412,-16036,3080,-32,-1007,537
10360,-15884,3228,-37,-978,530
10540,-15588,3316,-54,-990,544
10576,-15728,3108,-17,-1057,534
10664,-15732,2628,363,238,565
10304,-15912,3364,-61,-1136,552
10964,-14988,3016,-184,468,527
10476,-15976,3212,57,-1073,557
10296,-16624,3176,-530,-1848,542
11616,-14404,3344,-534,-3982,534
11372,-15812,3116,138,-545,536
10844,-15072,3140,1176,-2655,535
10520,-15268,2984,-2,-1877,552
10344,-16656,2900,-1272,-79,558
9840,-16472,3220,62,1290,539
11216,-13052,2824,411,-4032,551
10400,-15616,3404,-2,-958,566
10560,-15852,3056,15,-1123,549
10956,-17524,2764,-179,-2727,553
10260,-15996,3292,-76,-1048,558
10544,-15644,3228,-5,-966,533
10516,-15860,3192,-55,-983,546
10452,-15576,3168,-55,-996,549
10560,-15776,3160,-68,-978,564
10580,-15744,3196,-66,-991,525
10464,-15724,3196,-44,-964,530
10516,-16056,3048,-45,-957,535
10460,-15932,3144,-55,-989,577
10556,-15748,3244,-54,-966,518
10500,-15852,3156,-54,-953,544
10532,-15852,3188,-50,-955,524
10476,-15728,3180,-54,-1000,571
10464,-15768,3108,-30,-938,574
10480,-15684,3056,-63,-988,572
10428,-15800,3096,-54,-942,545
10416,-15808,3160,-56,-969,531
10512,-15592,3168,-40,-840,525
10528,-15636,3088,-41,-949,547
10384,-15596,3164,-49,-1004,535
10352,-15600,3224,-42,-973,536
10488,-16004,3036,-41,-978,525
10444,-15676,3300,-50,-976,565
10472,-15692,3128,-47,-968,559
10540,-15820,3104,-56,-970,571
10388,-15864,3044,-47,-964,547
10512,-15824,3196,-60,-968,546
10400,-15608,3180,-68,-991,532
10508,-15604,3100,-48,-959,556
10644,-15876,3044,-44,-989,529
10484,-15732,3044,-29,-980,553
10460,-15796,3200,-49,-977,567
10452,-15860,3156,-43,-980,556
10484,-15856,3088,-49,-951,529
10360,-15888,3008,-61,-965,581
10512,-15820,3088,-48,-961,533
10396,-15604,3296,-46,-971,550
10504,-16036,3020,-50,-965,544
10436,-15828,3076,-41,-985,535
10468,-15772,3180,-40,-968,550
10488,-15660,3136,-38,-958,553
10456,-15924,3112,-64,-987,576
10436,-15716,3080,-30,-965,555
ax,ay,az,gx,gy,gz
10528,-15636,3116,-52,-967,529
10524,-15800,3088,-62,-983,546
10504,-15564,3048,-44,-959,536
10524,-15808,3008,-47,-955,577
10600,-15648,3232,-69,-953,563
10440,-15752,3160,-48,-989,548
10504,-15788,3024,-51,-961,564
10304,-15632,3176,-51,-954,540
10396,-15800,3112,-40,-957,531
10472,-15712,3148,-58,-981,549
10432,-15636,3212,-50,-959,559
10424,-15640,3124,-40,-984,536
10452,-15740,3164,-62,-983,554
10472,-15728,3008,-43,-958,509
10512,-15616,3200,-53,-996,565
10456,-15928,3096,-52,-980,548
10492,-15728,3084,-32,-943,547
10480,-15952,3128,-50,-998,552
10460,-15684,3224,-60,-1000,546
10452,-15824,3128,-40,-968,530
10408,-15884,3012,-25,-975,588
10376,-15968,3076,-11,-979,515
10436,-15928,2976,-50,-966,552
10468,-15736,3204,-38,-981,545
10444,-15592,3136,-76,-988,538
10488,-15712,3088,-39,-961,542
10440,-15972,3012,-59,-988,522
10452,-15716,3196,-52,-970,534
10524,-15892,3116,-45,-974,557
10392,-15888,3012,-31,-982,532
10528,-15776,3104,-78,-972,575
10444,-15828,2912,-72,-975,541
10496,-15696,3172,-52,-959,541
10484,-15796,3072,-44,-978,518
10508,-15768,3136,-56,-981,531
10432,-15756,3140,-53,-941,550
10524,-15876,3196,-50,-964,533
10580,-15696,3092,-68,-976,533
10496,-15836,3168,-53,-948,597
10480,-15612,3132,-52,-963,570
10412,-15780,3020,-45,-966,546
10444,-15700,3184,-53,-961,560
10524,-16192,3008,-48,-979,553
10372,-15904,2972,-62,-971,546
10428,-16064,3128,-67,-975,543
10488,-16032,3148,-47,-959,544
10504,-15540,3168,-62,-979,537
10436,-16064,3000,-80,-1013,565
10492,-15908,3000,-63,-906,522
10432,-15584,3240,-36,-986,540
10488,-15680,3204,-30,-1004,526
10456,-15808,3288,-65,-976,567
10380,-15792,3132,-46,-1097,554
10568,-15952,3076,-33,-1116,559
10548,-15924,3016,-50,-963,542
10408,-15992,3028,-51,-963,559
10436,-15992,3028,-48,-979,526
10476,-15692,3024,-59,-960,534
10512,-15804,3168,-34,-978,536
10340,-16012,3080,-38,-979,515
10488,-15648,3096,-30,-1001,540
10416,-15820,3148,-32,-991,561
10456,-15556,3160,-58,-965,581
10352,-15852,3060,-51,-973,538
10452,-15988,3108,-46,-952,552
10512,-15876,3060,-43,-948,525
10372,-15656,3204,-43,-979,569
10512,-15756,3120,-81,-984,557
10508,-15876,3048,-46,-1000,556
10392,-15940,3016,-51,-934,545
10476,-15812,3160,-44,-1011,530
10468,-15616,3208,-64,-987,548
10488,-15988,3164,-94,-980,569
10512,-15664,3096,-47,-985,562
10520,-15972,3160,-37,-973,553
